,tradePrice,segment,productType,tradedQty,symbol,orderDateTime,tradeValue,side,orderType
0,927.6,10,CO,1,NSE:TANLA-EQ,03-09-2024 10:41,927.6,1,2
1,928.3,10,CO,1,NSE:TANLA-EQ,03-09-2024 11:06,928.3,-1,2
2,564.35,10,CO,1,NSE:PFC-EQ,05-09-2024 11:11,564.35,-1,2
3,561.95,10,CO,1,NSE:PFC-EQ,05-09-2024 10:35,561.95,1,2
0,183.69,10,CNC,8,NSE:FEDERALBNK-EQ,09-09-2024 09:52,1469.52,-1,2
1,506.4,10,CO,1,NSE:ITC-EQ,09-09-2024 10:03,506.4,-1,2
2,118.07,10,CNC,5,NSE:UNIONBANK-EQ,09-09-2024 09:53,590.35,-1,2
3,504.2,10,CO,1,NSE:ITC-EQ,09-09-2024 09:57,504.2,1,2
4,101.78,10,CNC,10,NSE:CANBK-EQ,09-09-2024 09:52,1017.8,-1,2
0,428.8,10,CO,1,NSE:INDUSTOWER-EQ,10-09-2024 13:29,428.8,-1,2
1,427.85,10,CO,1,NSE:INDUSTOWER-EQ,10-09-2024 10:27,427.85,1,2
0,1600.35,10,CO,1,NSE:BHARTIARTL-EQ,12-09-2024 13:34,1600.35,1,2
1,1607.45,10,CO,1,NSE:BHARTIARTL-EQ,12-09-2024 14:02,1607.45,-1,2
0,171.4,10,CO,2,NSE:CUB-EQ,13-09-2024 11:31,342.8,-1,2
1,700.8,10,CO,1,NSE:INDHOTEL-EQ,13-09-2024 10:22,700.8,1,2
2,698.2,10,CO,1,NSE:INDHOTEL-EQ,13-09-2024 10:45,698.2,-1,2
3,170.34,10,CO,2,NSE:CUB-EQ,13-09-2024 10:57,340.68,1,2
4,1943.15,10,CO,1,NSE:INFY-EQ,13-09-2024 10:24,1943.15,1,2
5,1952.35,10,CO,1,NSE:INFY-EQ,13-09-2024 11:19,1952.35,-1,2
0,539.35,10,CO,1,NSE:RECLTD-EQ,20-09-2024 11:14,539.35,1,2
1,1742.4,10,CO,1,NSE:HDFCBANK-EQ,20-09-2024 14:55,1742.4,-1,2
2,1741.35,10,CO,1,NSE:HDFCBANK-EQ,20-09-2024 14:51,1741.35,1,2
3,538.25,10,CO,1,NSE:RECLTD-EQ,20-09-2024 11:46,538.25,-1,2
4,1711.6,10,CO,1,NSE:HDFCBANK-EQ,20-09-2024 09:50,1711.6,1,2
5,1715.3,10,CO,1,NSE:HDFCBANK-EQ,20-09-2024 09:54,1715.3,1,2
6,1712.5,10,CO,1,NSE:HDFCBANK-EQ,20-09-2024 09:53,1712.5,-1,2
7,1717.45,10,CO,1,NSE:HDFCBANK-EQ,20-09-2024 09:56,1717.45,-1,2
0,216.23,10,CO,1,NSE:DEVYANI-EQ,23-09-2024 11:48,216.23,1,2
1,214.42,10,CO,1,NSE:DEVYANI-EQ,23-09-2024 11:26,214.42,-1,2
2,426.65,10,CO,1,NSE:NTPC-EQ,23-09-2024 11:28,426.65,-1,2
3,430.2,10,CO,2,NSE:NTPC-EQ,23-09-2024 10:25,860.4,1,2
4,218.1,10,CO,1,NSE:DEVYANI-EQ,23-09-2024 12:31,218.1,-1,2
5,215.8,10,CO,1,NSE:DEVYANI-EQ,23-09-2024 10:37,215.8,1,2
7,426.7,10,CO,1,NSE:NTPC-EQ,23-09-2024 11:28,426.7,-1,2
0,1760,10,CO,1,NSE:BHARTIARTL-EQ,24-09-2024 10:13,1760,-1,2
1,1755.95,10,CO,1,NSE:BHARTIARTL-EQ,24-09-2024 09:29,1755.95,1,2
0,1246.4,10,CO,1,NSE:AXISBANK-EQ,25-09-2024 09:56,1246.4,-1,2
1,1245,10,CO,1,NSE:AXISBANK-EQ,25-09-2024 09:50,1245,1,2
2,542.45,10,CO,1,NSE:PCBL-EQ,25-09-2024 10:05,542.45,-1,2
3,539.9,10,CO,1,NSE:PCBL-EQ,25-09-2024 10:01,539.9,1,2
0,711.7,10,CO,1,NSE:INDHOTEL-EQ,26-09-2024 10:15,711.7,1,2
1,710.4,10,CO,1,NSE:INDHOTEL-EQ,26-09-2024 09:44,710.4,-1,2
2,714.85,10,CO,1,NSE:INDHOTEL-EQ,26-09-2024 09:18,714.85,1,2
3,709.95,10,CO,1,NSE:INDHOTEL-EQ,26-09-2024 10:46,709.95,-1,2
0,441.85,10,CO,1,NSE:RAILTEL-EQ,17-10-2024 09:32,441.85,1,2
1,228.27,10,CO,2,NSE:NATIONALUM-EQ,17-10-2024 13:34,456.54,1,2
2,229.04,10,CO,2,NSE:NATIONALUM-EQ,17-10-2024 13:44,458.08,-1,2
3,437.7,10,CO,1,NSE:RAILTEL-EQ,17-10-2024 09:52,437.7,-1,2
4,812,10,CO,1,NSE:SBIN-EQ,17-10-2024 10:41,812,-1,2
